,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,TEAM,Final,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,TEAM_opp,Final_opp,home_opp,season,date,won
10,240.0,240.0,39.0,78.0,0.5,10.0,30.0,0.333,28.0,43.0,0.651,12.0,43.0,55.0,26.0,6.0,8.0,17.0,21.0,116.0,,0.598,0.564,0.385,0.551,27.9,86.0,59.1,66.7,5.8,13.3,14.9,100.0,112.7,105.0,,,11.0,18.0,1.0,4.0,8.0,0.5,12.0,17.0,1.0,3.0,11.0,12.0,8.0,2.0,3.0,8.0,4.0,38.0,15.0,1.0,1.0,0.667,0.944,13.1,45.2,30.4,47.0,3.3,5.9,34.0,40.9,203.0,114.0,LAL,116,0,1,240.0,240.0,39.0,95.0,0.411,12.0,35.0,0.343,18.0,19.0,0.947,7.0,31.0,38.0,17.0,7.0,4.0,11.0,25.0,108.0,,0.522,0.474,0.368,0.2,14.0,72.1,40.9,43.6,6.8,8.3,9.6,100.0,105.0,112.7,,,12.0,25.0,0.6,5.0,12.0,0.667,13.0,14.0,1.0,3.0,8.0,8.0,7.0,4.0,1.0,4.0,5.0,34.0,4.0,0.68,0.6,0.75,0.7,16.3,22.2,17.5,25.8,4.4,22.5,100.0,35.6,154.0,120.0,POR,108,1,2020,2020-08-22,True
11,240.0,240.0,39.0,95.0,0.411,12.0,35.0,0.343,18.0,19.0,0.947,7.0,31.0,38.0,17.0,7.0,4.0,11.0,25.0,108.0,,0.522,0.474,0.368,0.2,14.0,72.1,40.9,43.6,6.8,8.3,9.6,100.0,105.0,112.7,,,12.0,25.0,0.6,5.0,12.0,0.667,13.0,14.0,1.0,3.0,8.0,8.0,7.0,4.0,1.0,4.0,5.0,34.0,4.0,0.68,0.6,0.75,0.7,16.3,22.2,17.5,25.8,4.4,22.5,100.0,35.6,154.0,120.0,POR,108,1,0,240.0,240.0,39.0,78.0,0.5,10.0,30.0,0.333,28.0,43.0,0.651,12.0,43.0,55.0,26.0,6.0,8.0,17.0,21.0,116.0,,0.598,0.564,0.385,0.551,27.9,86.0,59.1,66.7,5.8,13.3,14.9,100.0,112.7,105.0,,,11.0,18.0,1.0,4.0,8.0,0.5,12.0,17.0,1.0,3.0,11.0,12.0,8.0,2.0,3.0,8.0,4.0,38.0,15.0,1.0,1.0,0.667,0.944,13.1,45.2,30.4,47.0,3.3,5.9,34.0,40.9,203.0,114.0,LAL,116,0,2020,2020-08-22,False
12,265.0,265.0,45.0,98.0,0.459,12.0,41.0,0.293,27.0,34.0,0.794,11.0,40.0,51.0,31.0,4.0,5.0,6.0,23.0,129.0,,0.571,0.52,0.418,0.347,20.4,80.0,49.0,68.9,3.8,9.3,5.0,100.0,122.7,120.8,,,8.0,19.0,0.7,2.0,9.0,0.667,6.0,7.0,1.0,4.0,8.0,12.0,10.0,1.0,4.0,1.0,4.0,24.0,12.0,0.81,0.778,0.8,1.0,9.8,44.7,21.5,62.1,2.9,12.3,14.8,30.0,159.0,129.0,DAL,129,0,1,265.0,265.0,42.0,98.0,0.429,19.0,44.0,0.432,24.0,28.0,0.857,10.0,43.0,53.0,32.0,4.0,4.0,7.0,24.0,127.0,,0.576,0.526,0.449,0.286,20.0,79.6,51.0,76.2,3.8,7.0,6.0,100.0,120.8,122.7,,,9.0,20.0,0.667,6.0,11.0,1.0,6.0,8.0,1.0,4.0,13.0,17.0,12.0,2.0,1.0,2.0,5.0,30.0,17.0,0.85,0.8,0.733,1.143,12.2,32.3,22.0,47.2,2.4,3.6,15.5,25.7,166.0,129.0,MEM,127,1,2019,2019-04-07,True
13,265.0,265.0,42.0,98.0,0.429,19.0,44.0,0.432,24.0,28.0,0.857,10.0,43.0,53.0,32.0,4.0,4.0,7.0,24.0,127.0,,0.576,0.526,0.449,0.286,20.0,79.6,51.0,76.2,3.8,7.0,6.0,100.0,120.8,122.7,,,9.0,20.0,0.667,6.0,11.0,1.0,6.0,8.0,1.0,4.0,13.0,17.0,12.0,2.0,1.0,2.0,5.0,30.0,17.0,0.85,0.8,0.733,1.143,12.2,32.3,22.0,47.2,2.4,3.6,15.5,25.7,166.0,129.0,MEM,127,1,0,265.0,265.0,45.0,98.0,0.459,12.0,41.0,0.293,27.0,34.0,0.794,11.0,40.0,51.0,31.0,4.0,5.0,6.0,23.0,129.0,,0.571,0.52,0.418,0.347,20.4,80.0,49.0,68.9,3.8,9.3,5.0,100.0,122.7,120.8,,,8.0,19.0,0.7,2.0,9.0,0.667,6.0,7.0,1.0,4.0,8.0,12.0,10.0,1.0,4.0,1.0,4.0,24.0,12.0,0.81,0.778,0.8,1.0,9.8,44.7,21.5,62.1,2.9,12.3,14.8,30.0,159.0,129.0,DAL,129,0,2019,2019-04-07,False
14,240.0,240.0,31.0,91.0,0.341,8.0,40.0,0.2,16.0,22.0,0.727,14.0,34.0,48.0,15.0,4.0,3.0,13.0,22.0,86.0,,0.427,0.385,0.44,0.242,27.5,72.3,49.0,48.4,4.1,5.2,11.4,100.0,88.5,108.1,,,7.0,20.0,0.5,2.0,8.0,0.333,6.0,6.0,1.0,4.0,11.0,14.0,8.0,1.0,2.0,4.0,4.0,20.0,0.0,0.538,0.5,1.0,0.417,26.5,29.3,18.0,46.4,2.9,6.4,33.3,46.9,223.0,117.0,NYK,86,0,1,240.0,240.0,35.0,90.0,0.389,7.0,32.0,0.219,28.0,31.0,0.903,13.0,37.0,50.0,17.0,3.0,5.0,13.0,25.0,105.0,,0.507,0.428,0.356,0.344,27.7,72.5,51.0,48.6,3.1,9.8,11.1,100.0,108.1,88.5,,,9.0,21.0,0.5,3.0,10.0,1.0,10.0,11.0,1.0,4.0,8.0,12.0,4.0,2.0,2.0,2.0,4.0,28.0,14.0,0.651,0.625,1.0,1.333,26.0,100.0,54.4,28.4,3.3,5.3,100.0,45.7,150.0,100.0,MIA,105,1,2023,2023-05-06,False
15,240.0,240.0,35.0,90.0,0.389,7.0,32.0,0.219,28.0,31.0,0.903,13.0,37.0,50.0,17.0,3.0,5.0,13.0,25.0,105.0,,0.507,0.428,0.356,0.344,27.7,72.5,51.0,48.6,3.1,9.8,11.1,100.0,108.1,88.5,,,9.0,21.0,0.5,3.0,10.0,1.0,10.0,11.0,1.0,4.0,8.0,12.0,4.0,2.0,2.0,2.0,4.0,28.0,14.0,0.651,0.625,1.0,1.333,26.0,100.0,54.4,28.4,3.3,5.3,100.0,45.7,150.0,100.0,MIA,105,1,0,240.0,240.0,31.0,91.0,0.341,8.0,40.0,0.2,16.0,22.0,0.727,14.0,34.0,48.0,15.0,4.0,3.0,13.0,22.0,86.0,,0.427,0.385,0.44,0.242,27.5,72.3,49.0,48.4,4.1,5.2,11.4,100.0,88.5,108.1,,,7.0,20.0,0.5,2.0,8.0,0.333,6.0,6.0,1.0,4.0,11.0,14.0,8.0,1.0,2.0,4.0,4.0,20.0,0.0,0.538,0.5,1.0,0.417,26.5,29.3,18.0,46.4,2.9,6.4,33.3,46.9,223.0,117.0,NYK,86,0,2023,2023-05-06,True
16,265.0,265.0,41.0,90.0,0.456,13.0,32.0,0.406,11.0,18.0,0.611,10.0,37.0,47.0,19.0,4.0,4.0,12.0,22.0,106.0,,0.541,0.528,0.356,0.2,23.8,82.2,54.0,46.3,4.1,6.1,10.9,100.0,108.8,115.0,,,14.0,25.0,1.0,5.0,10.0,0.571,3.0,4.0,1.0,3.0,8.0,10.0,6.0,1.0,2.0,3.0,5.0,35.0,7.0,0.798,1.0,0.667,2.0,10.2,28.6,19.7,23.9,1.3,13.0,50.0,30.9,145.0,121.0,DEN,106,0,1,265.0,265.0,42.0,89.0,0.472,9.0,23.0,0.391,19.0,25.0,0.76,8.0,32.0,40.0,24.0,10.0,2.0,8.0,19.0,112.0,,0.56,0.522,0.258,0.281,17.8,76.2,46.0,57.1,10.3,3.4,7.4,100.0,115.0,108.8,,,12.0,21.0,1.0,3.0,5.0,1.0,10.0,13.0,1.0,4.0,10.0,14.0,7.0,3.0,1.0,3.0,5.0,31.0,13.0,1.5,1.5,1.0,0.889,19.3,41.4,30.0,42.2,15.0,2.6,50.0,40.2,154.0,115.0,MIN,112,1,2018,2018-04-11,False
17,265.0,265.0,42.0,89.0,0.472,9.0,23.0,0.391,19.0,25.0,0.76,8.0,32.0,40.0,24.0,10.0,2.0,8.0,19.0,112.0,,0.56,0.522,0.258,0.281,17.8,76.2,46.0,57.1,10.3,3.4,7.4,100.0,115.0,108.8,,,12.0,21.0,1.0,3.0,5.0,1.0,10.0,13.0,1.0,4.0,10.0,14.0,7.0,3.0,1.0,3.0,5.0,31.0,13.0,1.5,1.5,1.0,0.889,19.3,41.4,30.0,42.2,15.0,2.6,50.0,40.2,154.0,115.0,MIN,112,1,0,265.0,265.0,41.0,90.0,0.456,13.0,32.0,0.406,11.0,18.0,0.611,10.0,37.0,47.0,19.0,4.0,4.0,12.0,22.0,106.0,,0.541,0.528,0.356,0.2,23.8,82.2,54.0,46.3,4.1,6.1,10.9,100.0,108.8,115.0,,,14.0,25.0,1.0,5.0,10.0,0.571,3.0,4.0,1.0,3.0,8.0,10.0,6.0,1.0,2.0,3.0,5.0,35.0,7.0,0.798,1.0,0.667,2.0,10.2,28.6,19.7,23.9,1.3,13.0,50.0,30.9,145.0,121.0,DEN,106,0,2018,2018-04-11,True
18,240.0,240.0,44.0,85.0,0.518,9.0,30.0,0.3,15.0,22.0,0.682,8.0,32.0,40.0,25.0,6.0,5.0,12.0,22.0,112.0,,0.591,0.571,0.353,0.259,21.1,71.1,48.2,56.8,6.2,11.9,11.2,100.0,115.3,123.5,,,13.0,25.0,0.9,3.0,10.0,0.5,5.0,7.0,1.0,4.0,14.0,18.0,10.0,2.0,5.0,4.0,4.0,34.0,11.0,0.831,0.9,1.0,0.6,13.9,41.0,28.6,42.6,4.5,15.7,20.0,36.3,157.0,131.0,POR,112,0,1,240.0,240.0,39.0,89.0,0.438,20.0,47.0,0.426,22.0,28.0,0.786,13.0,30.0,43.0,19.0,6.0,4.0,13.0,17.0,120.0,,0.592,0.551,0.528,0.315,28.9,78.9,51.8,48.7,6.2,7.3,11.4,100.0,123.5,115.3,,,11.0,23.0,0.563,8.0,12.0,1.0,6.0,8.0,1.0,3.0,6.0,8.0,7.0,2.0,3.0,3.0,3.0,35.0,9.0,0.76,0.719,1.0,0.5,14.4,25.5,19.5,42.1,3.3,7.9,29.1,36.5,153.0,120.0,DAL,120,1,2020,2020-01-17,False
19,240.0,240.0,39.0,89.0,0.438,20.0,47.0,0.426,22.0,28.0,0.786,13.0,30.0,43.0,19.0,6.0,4.0,13.0,17.0,120.0,,0.592,0.551,0.528,0.315,28.9,78.9,51.8,48.7,6.2,7.3,11.4,100.0,123.5,115.3,,,11.0,23.0,0.563,8.0,12.0,1.0,6.0,8.0,1.0,3.0,6.0,8.0,7.0,2.0,3.0,3.0,3.0,35.0,9.0,0.76,0.719,1.0,0.5,14.4,25.5,19.5,42.1,3.3,7.9,29.1,36.5,153.0,120.0,DAL,120,1,0,240.0,240.0,44.0,85.0,0.518,9.0,30.0,0.3,15.0,22.0,0.682,8.0,32.0,40.0,25.0,6.0,5.0,12.0,22.0,112.0,,0.591,0.571,0.353,0.259,21.1,71.1,48.2,56.8,6.2,11.9,11.2,100.0,115.3,123.5,,,13.0,25.0,0.9,3.0,10.0,0.5,5.0,7.0,1.0,4.0,14.0,18.0,10.0,2.0,5.0,4.0,4.0,34.0,11.0,0.831,0.9,1.0,0.6,13.9,41.0,28.6,42.6,4.5,15.7,20.0,36.3,157.0,131.0,POR,112,0,2020,2020-01-17,True
